raw_name	R6	R5	R4	R3	R2	R1	col	sheet_name	k
peAwote	Outyears growth	Index	Full Time Adults Average Weekly Ordinary Time Earnings	Original Survey Basis			8	AWE	4
peAwoteG	Outyears growth	Quarterly Growth	Full Time Adults Average Weekly Ordinary Time Earnings	Original Survey Basis			9	AWE	4
pePtaWeSa	Outyears growth	Index	All Persons Total Average Weekly Earnings	Seasonally Adjusted			10	AWE	4
pePtaWeSaG	Outyears growth	Quarterly Growth	All Persons Total Average Weekly Earnings	Seasonally Adjusted			11	AWE	4
peAwoteSa	Outyears growth	Index	Full Time Adults Average Weekly Ordinary Time Earnings	Seasonally Adjusted			12	AWE	4
peAwoteSaG	Outyears growth	Quarterly Growth	Full Time Adults Average Weekly Ordinary Time Earnings	Seasonally Adjusted			13	AWE	4
peAwoteSaG		Quarterly Growth	Full Time Adults Average Weekly Ordinary Time Earnings	Seasonally Adjusted			14	AWE	4
Date	Index	Males Total Average Weekly Earnings	AWE Release				1	AWE_A	5
peMtaWe	Index	Males Total Average Weekly Earnings	Original Survey Basis				2	AWE_A	5
peMtaWeG	Annual Growth	Males Total Average Weekly Earnings	Original Survey Basis				3	AWE_A	5
peFtaWe	Index	Females Total Average Weekly Earnings	Original Survey Basis				4	AWE_A	5
peFtaWeG	Annual Growth	Females Total Average Weekly Earnings	Original Survey Basis				5	AWE_A	5
pePtaWe	Index	All Persons Total Average Weekly Earnings	Original Survey Basis				6	AWE_A	5
pePtaWeG	Annual Growth	All Persons Total Average Weekly Earnings	Original Survey Basis				7	AWE_A	5
peAwote	Annual Growth	Full Time Adults Average Weekly Ordinary Time Earnings	Original Survey Basis				8	AWE_A	5
peAwoteG	Annual Growth	Full Time Adults Average Weekly Ordinary Time Earnings	Original Survey Basis				9	AWE_A	5
pePtaWeSa	Index	All Persons Total Average Weekly Earnings	Seasonaly Adjusted				10	AWE_A	5
pePtaWeSaG	Annual Growth	All Persons Total Average Weekly Earnings	Seasonaly Adjusted				11	AWE_A	5
peAwoteSa	Index	Full Time Adults Average Weekly Ordinary Time Earnings	Seasonaly Adjusted				12	AWE_A	5
peAwoteSaG	Annual Growth	Full Time Adults Average Weekly Ordinary Time Earnings	Seasonaly Adjusted				13	AWE_A	5
peAwoteSaG	Annual Growth	Full Time Adults Average Weekly Ordinary Time Earnings	Seasonaly Adjusted				14	AWE_A	5
Date	Outyears growth	Index	PBLCI Release				1	PBLCI	6
pePblci	Outyears growth	Index	PBLCI, Australia (First published)				2	PBLCI	6
pePblciG	Indexed to CPI outyears growth	Quarterly Growth	PBLCI, Australia (First published)				3	PBLCI	6
pePblciG		Quarterly Growth	PBLCI, Australia (First published)				12	PBLCI	6
Date	Index	PBLCI Release					1	PBLCI_A	7
pePblci	Index	PBLCI, Australia (First published)					2	PBLCI_A	7
pePblciG	Annual Growth	PBLCI, Australia (First published)					3	PBLCI_A	7
pePblciG	Annual Growth	PBLCI, Australia (First published)					12	PBLCI_A	7
Date		Base Rate	From		Period	Disability and Dependent Pension Rates	1	DVA	8
Enddate		Base Rate	To		Period	Disability and Dependent Pension Rates	2	DVA	8
not_used25		Base Rate	Special		Disability rate	Disability and Dependent Pension Rates	3	DVA	8
not_used26		Energy Supplement	Special		Disability rate	Disability and Dependent Pension Rates	4	DVA	8
not_used27		Base Rate	Intermediate		Disability rate	Disability and Dependent Pension Rates	5	DVA	8
not_used28		Energy Supplement	Intermediate		Disability rate	Disability and Dependent Pension Rates	6	DVA	8
not_used29		Base Rate	Extreme		Disability rate	Disability and Dependent Pension Rates	7	DVA	8
not_used30		Energy Supplement	Extreme		Disability rate	Disability and Dependent Pension Rates	8	DVA	8
not_used31		Base Rate	Extreme		Disability rate	Disability and Dependent Pension Rates	9	DVA	8
DvaDisBaseEsF		Energy Supplement	Extreme		Disability rate	Disability and Dependent Pension Rates	10	DVA	8
not_used33		Maximum Basic Rate	Components		War Widows' Pension	Disability and Dependent Pension Rates	11	DVA	8
not_used34		Supplementary Amount	Components		War Widows' Pension	Disability and Dependent Pension Rates	12	DVA	8
not_used35		Add on	Components		War Widows' Pension	Disability and Dependent Pension Rates	13	DVA	8
DvaWarWidEsF		Energy Supplement	Components		War Widows' Pension	Disability and Dependent Pension Rates	14	DVA	8
not_used37		Energy Supplement	Maximum fortnightly WW pension		War Widows' Pension	Disability and Dependent Pension Rates	15	DVA	8
not_used38		Energy Supplement	Maximum fortnightly WW pension		War Widows' Pension	Income Support Supplement Ceiling Rate	16	DVA	8
not_used39		Energy Supplement	Single		Rent assistance income free area	Rent Assistance for Disability Pensioners	17	DVA	8
not_used40		Energy Supplement	Married		Rent assistance income free area	Rent Assistance for Disability Pensioners	18	DVA	8
not_used41		Energy Supplement	Married		Withdrawal rate for rent assistance	Rent Assistance for Disability Pensioners	19	DVA	8
DvaPenAge		Energy Supplement	Married		Withdrawal rate for rent assistance	DVA Pension Age	20	DVA	8
Date		Base Rate	From		Period	Disability and Dependent Pension Rates	1	DVA_A	9
Enddate		Base Rate	To		Period	Disability and Dependent Pension Rates	2	DVA_A	9
not_used25		Base Rate	Special		Disability rate	Disability and Dependent Pension Rates	3	DVA_A	9
not_used26		Energy Supplement	Special		Disability rate	Disability and Dependent Pension Rates	4	DVA_A	9
not_used27		Base Rate	Intermediate		Disability rate	Disability and Dependent Pension Rates	5	DVA_A	9
not_used28		Energy Supplement	Intermediate		Disability rate	Disability and Dependent Pension Rates	6	DVA_A	9
not_used29		Base Rate	Extreme		Disability rate	Disability and Dependent Pension Rates	7	DVA_A	9
not_used30		Energy Supplement	Extreme		Disability rate	Disability and Dependent Pension Rates	8	DVA_A	9
not_used31		Base Rate	Extreme		Disability rate	Disability and Dependent Pension Rates	9	DVA_A	9
DvaDisBaseEsF		Energy Supplement	Extreme		Disability rate	Disability and Dependent Pension Rates	10	DVA_A	9
not_used33		Maximum Basic Rate	Components		War Widows' Pension	Disability and Dependent Pension Rates	11	DVA_A	9
not_used34		Supplementary Amount	Components		War Widows' Pension	Disability and Dependent Pension Rates	12	DVA_A	9
not_used35		Add on	Components		War Widows' Pension	Disability and Dependent Pension Rates	13	DVA_A	9
DvaWarWidEsF		Energy Supplement	Components		War Widows' Pension	Disability and Dependent Pension Rates	14	DVA_A	9
not_used37		Energy Supplement	Maximum fortnightly WW pension		War Widows' Pension	Disability and Dependent Pension Rates	15	DVA_A	9
not_used38		Energy Supplement	Maximum fortnightly WW pension		War Widows' Pension	Income Support Supplement Ceiling Rate	16	DVA_A	9
not_used39		Energy Supplement	Single		Rent assistance free area	Rent Assistance for Disability Pensioners	17	DVA_A	9
not_used40		Energy Supplement	Married		Rent assistance free area	Rent Assistance for Disability Pensioners	18	DVA_A	9
not_used41		Energy Supplement	Married		Withdrawal rate for rent assistance	Rent Assistance for Disability Pensioners	19	DVA_A	9
DvaPenAge		Energy Supplement	Married		Withdrawal rate for rent assistance	DVA Pension Age	20	DVA_A	9
Date	Lower	Rate	From	Maximum Basic Rate	Period	Rates	1	Pensions	10
Enddate	Lower	Rate	To	Maximum Basic Rate	Period	Rates	2	Pensions	10
PenBasicMaxSF	Lower	Rate	To	Maximum Basic Rate	Single	Rates	3	Pensions	10
PenSupBasicMaxSF	Lower	Rate	Basic amount	Pension Supplement	Single	Rates	4	Pensions	10
PenSupRemMaxSF	Lower	Rate	Remaining amount	Pension Supplement	Single	Rates	5	Pensions	10
PenSupMinMaxSF	Lower	Rate	Minimum amount	Pension Supplement	Single	Rates	6	Pensions	10
PenSupTotSF	Lower	Rate	Total	Pension Supplement	Single	Rates	7	Pensions	10
PenEsMaxSF	Lower	Rate	Total	Energy Supplement	Single	Rates	8	Pensions	10
PenTotSF	Lower	Rate	Total	Total fortnightly maximum single pension rate	Single	Rates	9	Pensions	10
PenBasicMaxCF	Lower	Rate	Total	Maximum Basic Rate	Coupled	Rates	10	Pensions	10
PenSupBasicMaxCF	Lower	Rate	Basic amount	Pension Supplement	Coupled	Rates	11	Pensions	10
PenSupRemMaxCF	Lower	Rate	Remaining amount	Pension Supplement	Coupled	Rates	12	Pensions	10
PenSupMinMaxCF	Lower	Rate	Minimum amount	Pension Supplement	Coupled	Rates	13	Pensions	10
PenSupTotCF	Lower	Rate	Total	Pension Supplement	Coupled	Rates	14	Pensions	10
PenEsMaxCF	Lower	Rate	Total	Energy Supplement	Coupled	Rates	15	Pensions	10
PenTotCF	Lower	Rate	Total	Total fortnightly maximum coupled pension rate	Coupled	Rates	16	Pensions	10
PenThrSF	Lower	Rate	Income test free area	Single Threshold	Income test	Means Tests	17	Pensions	10
PenThrAddonSF	Lower	Rate	Extra per dependent child	Single Threshold	Income test	Means Tests	18	Pensions	10
PenThrCF	Lower	Rate	Income test free area	Married Threshold	Income test	Means Tests	19	Pensions	10
PenThrAddonCF	Lower	Rate	Extra per dependent child	Married Threshold	Income test	Means Tests	20	Pensions	10
HarmerPenTpr	Lower	Rate	Extra per dependent child	Taper Rate on Income Excess	Income test	Means Tests	21	Pensions	10
PenDeemRateLwr	Lower	Rate	Extra per dependent child	Assets Deeming	Income test	Means Tests	22	Pensions	10
PenDeemRateUpr	Upper	Rate	Extra per dependent child	Assets Deeming	Income test	Means Tests	23	Pensions	10
PenDeemThrS	Single	Thresholds	Extra per dependent child	Assets Deeming	Income test	Means Tests	24	Pensions	10
PenDeemThrPenC	Pensioner Couple	Thresholds	Extra per dependent child	Assets Deeming	Income test	Means Tests	25	Pensions	10
PenDeemThrOthC	Other Couple	Thresholds	Extra per dependent child	Assets Deeming	Income test	Means Tests	26	Pensions	10
PenAssThrHoS	Other Couple	Home owner	Single	Thresholds	Assets testing	Means Tests	27	Pensions	10
PenAssThrNhoS	Other Couple	Non home owner	Single	Thresholds	Assets testing	Means Tests	28	Pensions	10
PenAssThrHoC	Other Couple	Home owner	Married	Thresholds	Assets testing	Means Tests	29	Pensions	10
PenAssThrNhoC	Other Couple	Non home owner	Married	Thresholds	Assets testing	Means Tests	30	Pensions	10
PenAssTpr	Other Couple	Non home owner	Married	Reduction rate	Assets testing	Means Tests	31	Pensions	10
PenAssRnding	Other Couple	Non home owner	Married	Rounding Factor for Assets Tetsing	Assets testing	Means Tests	32	Pensions	10
WorkBonF	Other Couple	Non home owner	Threshold	Rounding Factor for Assets Tetsing	Assets testing	Age Pension Work Bonus	33	Pensions	10
not_used66	Other Couple	Non home owner	Income reduction factor for earned income below the threshold	Rounding Factor for Assets Tetsing	Assets testing	Age Pension Work Bonus	34	Pensions	10
MaleAgePenAge	Male	Non home owner	Income reduction factor for earned income below the threshold	Rounding Factor for Assets Tetsing	Assets testing	Age pension age	35	Pensions	10
FemaleAgePenAge	Female	Non home owner	Income reduction factor for earned income below the threshold	Rounding Factor for Assets Tetsing	Assets testing	Age pension age	36	Pensions	10
Date	Lower	Rate	From	Maximum Basic Rate	Period	Rates	1	Pensions_A	11
Enddate	Lower	Rate	To	Maximum Basic Rate	Period	Rates	2	Pensions_A	11
PenBasicMaxSF	Lower	Rate	To	Maximum Basic Rate	Single	Rates	3	Pensions_A	11
PenSupBasicMaxSF	Lower	Rate	Basic amount	Pension Supplement	Single	Rates	4	Pensions_A	11
PenSupRemMaxSF	Lower	Rate	Remaining amount	Pension Supplement	Single	Rates	5	Pensions_A	11
PenSupMinMaxSF	Lower	Rate	Minimum amount	Pension Supplement	Single	Rates	6	Pensions_A	11
PenSupTotSF	Lower	Rate	Total	Pension Supplement	Single	Rates	7	Pensions_A	11
PenEsMaxSF	Lower	Rate	Total	Energy Supplement	Single	Rates	8	Pensions_A	11
PenTotSF	Lower	Rate	Total	Total fortnightly maximum single pension rate	Single	Rates	9	Pensions_A	11
PenBasicMaxCF	Lower	Rate	Total	Maximum Basic Rate	Coupled	Rates	10	Pensions_A	11
PenSupBasicMaxCF	Lower	Rate	Basic amount	Pension Supplement	Coupled	Rates	11	Pensions_A	11
PenSupRemMaxCF	Lower	Rate	Remaining amount	Pension Supplement	Coupled	Rates	12	Pensions_A	11
PenSupMinMaxCF	Lower	Rate	Minimum amount	Pension Supplement	Coupled	Rates	13	Pensions_A	11
PenSupTotCF	Lower	Rate	Total	Pension Supplement	Coupled	Rates	14	Pensions_A	11
PenEsMaxCF	Lower	Rate	Total	Energy Supplement	Coupled	Rates	15	Pensions_A	11
PenTotCF	Lower	Rate	Total	Total fortnightly maximum coupled pension rate	Coupled	Rates	16	Pensions_A	11
PenThrSF	Lower	Rate	Income test free area	Single Threshold	Income test	Means Tests	17	Pensions_A	11
PenThrAddonSF	Lower	Rate	Extra per dependent child	Single Threshold	Income test	Means Tests	18	Pensions_A	11
PenThrCF	Lower	Rate	Income test free area	Married Threshold	Income test	Means Tests	19	Pensions_A	11
PenThrAddonCF	Lower	Rate	Extra per dependent child	Married Threshold	Income test	Means Tests	20	Pensions_A	11
HarmerPenTpr	Lower	Rate	Extra per dependent child	Taper Rate on Income Excess	Income test	Means Tests	21	Pensions_A	11
PenDeemRateLwr	Lower	Rate	Extra per dependent child	Assets Deeming	Income test	Means Tests	22	Pensions_A	11
PenDeemRateUpr	Upper	Rate	Extra per dependent child	Assets Deeming	Income test	Means Tests	23	Pensions_A	11
PenDeemThrS	Single	Thresholds	Extra per dependent child	Assets Deeming	Income test	Means Tests	24	Pensions_A	11
PenDeemThrPenC	Pensioner Couple	Thresholds	Extra per dependent child	Assets Deeming	Income test	Means Tests	25	Pensions_A	11
PenDeemThrOthC	Other Couple	Thresholds	Extra per dependent child	Assets Deeming	Income test	Means Tests	26	Pensions_A	11
PenAssThrHoS	Other Couple	Home owner	Single	Thresholds	Assets testing	Means Tests	27	Pensions_A	11
PenAssThrNhoS	Other Couple	Non home owner	Single	Thresholds	Assets testing	Means Tests	28	Pensions_A	11
PenAssThrHoC	Other Couple	Home owner	Married	Thresholds	Assets testing	Means Tests	29	Pensions_A	11
PenAssThrNhoC	Other Couple	Non home owner	Married	Thresholds	Assets testing	Means Tests	30	Pensions_A	11
PenAssTpr	Other Couple	Non home owner	Married	Reduction rate	Assets testing	Means Tests	31	Pensions_A	11
PenAssRnding	Other Couple	Non home owner	Married	Rounding Factor for Assets Tetsing	Assets testing	Means Tests	32	Pensions_A	11
WorkBonF	Other Couple	Non home owner	Threshold	Rounding Factor for Assets Tetsing	Assets testing	Age Pension Work Bonus	33	Pensions_A	11
not_used66	Other Couple	Non home owner	Income reduction factor for earned income below the threshold	Rounding Factor for Assets Tetsing	Assets testing	Age Pension Work Bonus	34	Pensions_A	11
MaleAgePenAge	Male	Non home owner	Income reduction factor for earned income below the threshold	Rounding Factor for Assets Tetsing	Assets testing	Age pension age	35	Pensions_A	11
FemaleAgePenAge	Female	Non home owner	Income reduction factor for earned income below the threshold	Rounding Factor for Assets Tetsing	Assets testing	Age pension age	36	Pensions_A	11
Date			From		Carer Allowance (per fortnight)	Period	1	Carers	12
Enddate			To		Carer Allowance (per fortnight)	Period	2	Carers	12
CareAllMaxF			To		Carer Allowance (per fortnight)	Rates	3	Carers	12
CareSupMaxA			To		Carer Supplement (annual)	Rates	4	Carers	12
Date			From		Period	Rates	1	Carers_A	13
Enddate			To		Period	Rates	2	Carers_A	13
CareAllMaxF			To		Carer Allowance (per fortnight)	Rates	3	Carers_A	13
CareSupMaxA			To		Carer Supplement (annual)	Rates	4	Carers_A	13
Date			From	Maximum Basic Rate	Period	Rates	1	PPS	14
Enddate			To	Maximum Basic Rate	Period	Rates	2	PPS	14
PPSPenBasicMaxF			To	Maximum Basic Rate	Components	Rates	3	PPS	14
PPSSupBasicMaxF			To	Pension supplement	Components	Rates	4	PPS	14
PPSPenEsMaxF			To	Energy Supplement	Components	Rates	5	PPS	14
not_used82			To	Energy Supplement	Maximum Fortnightly Rate (before rent assistance and pharmA)	Rates	6	PPS	14
PPSPenThrF			To	Income test free area	Income test	Means Test	7	PPS	14
PPSThrChild			To	Extra per dept child	Income test	Means Test	8	PPS	14
PPSPenTpr			To	Income test taper rate	Income test	Means Test	9	PPS	14
not_used86			Home Owner	Income test taper rate	Assets Cut Outs	Means Test	10	PPS	14
not_used87			Non-Home Owner	Income test taper rate	Assets Cut Outs	Means Test	11	PPS	14
PPSDepAge			Non-Home Owner	Income test taper rate	Assets Cut Outs	Child age limit	12	PPS	14
Date			From	Maximum Basic Rate	Period	Rates	1	PPS_A	15
Enddate			To	Maximum Basic Rate	Period	Rates	2	PPS_A	15
PPSPenBasicMaxF			To	Maximum Basic Rate	Components	Rates	3	PPS_A	15
PPSSupBasicMaxF			To	Pension supplement	Components	Rates	4	PPS_A	15
PPSPenEsMaxF			To	Energy Supplement	Components	Rates	5	PPS_A	15
not_used82			To	Energy Supplement	Maximum Fortnightly Rate (before rent assistance and pharmA)	Rates	6	PPS_A	15
PPSPenThrF			To	Income test free area	Income test	Means Test	7	PPS_A	15
PPSThrChild			To	Extra per dept child	Income test	Means Test	8	PPS_A	15
PPSPenTpr			To	Income test taper rate	Income test	Means Test	9	PPS_A	15
not_used86			Home Owner	Income test taper rate	Assets Cut Outs	Means Test	10	PPS_A	15
not_used87			Non-Home Owner	Income test taper rate	Assets Cut Outs	Means Test	11	PPS_A	15
PPSDepAge			Non-Home Owner	Income test taper rate	Assets Cut Outs	Child age limit	12	PPS_A	15
Date	Single	Energy Supplement	From	At Home	Period	Payment Rates	1	YouthDSP	16
Enddate	Single	Energy Supplement	To	At Home	Period	Payment Rates	2	YouthDSP	16
not_used89	Single	Energy Supplement	To	At Home	Youth disability supplement	Payment Rates	3	YouthDSP	16
DSPU21YngAHPenEsMaxSF	Single	Energy Supplement	Aged Under 18	At Home	Single	Payment Rates	4	YouthDSP	16
DSPU21YngAHPenBasicMaxSF	Single	Total Payment (before PhA and RA)	Aged Under 18	At Home	Single	Payment Rates	5	YouthDSP	16
DSPU21OldAHPenEsMaxSF	Single	Energy Supplement	Aged 18 to 20	At Home	Single	Payment Rates	6	YouthDSP	16
DSPU21OldAHPenBasicMaxSF	Single	Total Payment (before PhA and RA)	Aged 18 to 20	At Home	Single	Payment Rates	7	YouthDSP	16
DSPU21PenEsMaxSF	Single	Energy Supplement	Aged 18 to 20	Away from Home	Single	Payment Rates	8	YouthDSP	16
DSPU21PenBasicMaxSF	Single	Total Payment (Not including CES and before PhA and RA)	Aged 18 to 20	Away from Home	Single	Payment Rates	9	YouthDSP	16
not_used96	Single	Total Payment (before PhA and RA)	Aged 18 to 20	Away from Home	Single	Payment Rates	10	YouthDSP	16
DSPU21PenEsMaxCF	Single	Energy Supplement	Aged 18 to 20	Aged Under 21	Partnered	Payment Rates	11	YouthDSP	16
DSPU21PenBasicMaxCF	Single	Total Payment (Not including CES and before PhA and RA)	Aged 18 to 20	Aged Under 21	Partnered	Payment Rates	12	YouthDSP	16
not_used99	Single	Total Payment (before PhA and RA)	Aged 18 to 20	Aged Under 21	Partnered	Payment Rates	13	YouthDSP	16
DSPU21PenThrSF	Single	Total Payment (before PhA and RA)	Income test free area	Aged Under 21	Income test	Means Tests	14	YouthDSP	16
DSPU21PenThrCF	Coupled	Total Payment (before PhA and RA)	Income test free area	Aged Under 21	Income test	Means Tests	15	YouthDSP	16
DSPU21PenTpr	Coupled	Total Payment (before PhA and RA)	Income test taper rate	Aged Under 21	Income test	Means Tests	16	YouthDSP	16
Date	Single	Energy Supplement	From	At Home	Period	Payment Rates	1	YouthDSP_A	17
Enddate	Single	Energy Supplement	To	At Home	Period	Payment Rates	2	YouthDSP_A	17
not_used89	Single	Energy Supplement	To	At Home	Youth disability supplement	Payment Rates	3	YouthDSP_A	17
DSPU21YngAHPenEsMaxSF	Single	Energy Supplement	Aged Under 18	At Home	Single	Payment Rates	4	YouthDSP_A	17
DSPU21YngAHPenBasicMaxSF	Single	Total Payment (before PhA and RA)	Aged Under 18	At Home	Single	Payment Rates	5	YouthDSP_A	17
DSPU21OldAHPenEsMaxSF	Single	Energy Supplement	Aged 18 to 20	At Home	Single	Payment Rates	6	YouthDSP_A	17
DSPU21OldAHPenBasicMaxSF	Single	Total Payment (before PhA and RA)	Aged 18 to 20	At Home	Single	Payment Rates	7	YouthDSP_A	17
DSPU21PenEsMaxSF	Single	Energy Supplement	Aged 18 to 20	Away from Home	Single	Payment Rates	8	YouthDSP_A	17
DSPU21PenBasicMaxSF	Single	Total Payment (Not including CES and before PhA and RA)	Aged 18 to 20	Away from Home	Single	Payment Rates	9	YouthDSP_A	17
not_used96	Single	Total Payment (before PhA and RA)	Aged 18 to 20	Away from Home	Single	Payment Rates	10	YouthDSP_A	17
DSPU21PenEsMaxCF	Single	Energy Supplement	Aged 18 to 20	Aged Under 21	Partnered	Payment Rates	11	YouthDSP_A	17
DSPU21PenBasicMaxCF	Single	Total Payment (Not including CES and before PhA and RA)	Aged 18 to 20	Aged Under 21	Partnered	Payment Rates	12	YouthDSP_A	17
not_used99	Single	Total Payment (before PhA and RA)	Aged 18 to 20	Aged Under 21	Partnered	Payment Rates	13	YouthDSP_A	17
DSPU21PenThrSF	Single	Total Payment (before PhA and RA)	Income test free area	Aged Under 21	Income test	Means Tests	14	YouthDSP_A	17
DSPU21PenThrCF	Coupled	Total Payment (before PhA and RA)	Income test free area	Aged Under 21	Income test	Means Tests	15	YouthDSP_A	17
DSPU21PenTpr	Coupled	Total Payment (before PhA and RA)	Income test taper rate	Aged Under 21	Income test	Means Tests	16	YouthDSP_A	17
Date	MBR	Components	From	Single	Period	NewStart Allowance, Special Benefit, Sickness Allowance and Parenting Payment Partnered Rates	1	Unemployment	18
Enddate	MBR	Components	To	Single	Period	NewStart Allowance, Special Benefit, Sickness Allowance and Parenting Payment Partnered Rates	2	Unemployment	18
UnempSingNoDepsBasicMaxF	MBR	Components	No Dependents	Single	Period	NewStart Allowance, Special Benefit, Sickness Allowance and Parenting Payment Partnered Rates	3	Unemployment	18
UnempSingNoDepsEsMaxF	ES	Components	No Dependents	Single	Period	NewStart Allowance, Special Benefit, Sickness Allowance and Parenting Payment Partnered Rates	4	Unemployment	18
not_used105	ES	Total (before RA)	No Dependents	Single	Period	NewStart Allowance, Special Benefit, Sickness Allowance and Parenting Payment Partnered Rates	5	Unemployment	18
UnempSingDepsBasicMaxF	MBR	Components	With Dependents	Single	Period	NewStart Allowance, Special Benefit, Sickness Allowance and Parenting Payment Partnered Rates	6	Unemployment	18
UnempSingDepsEsMaxF	ES	Components	With Dependents	Single	Period	NewStart Allowance, Special Benefit, Sickness Allowance and Parenting Payment Partnered Rates	7	Unemployment	18
not_used108	ES	Total (before RA and PhA)	With Dependents	Single	Period	NewStart Allowance, Special Benefit, Sickness Allowance and Parenting Payment Partnered Rates	8	Unemployment	18
UnempOldLtrBasicMaxF	MBR	Components	60+ and long term recipient	Single	Period	NewStart Allowance, Special Benefit, Sickness Allowance and Parenting Payment Partnered Rates	9	Unemployment	18
UnempOldLtrEsMaxF	ES	Components	60+ and long term recipient	Single	Period	NewStart Allowance, Special Benefit, Sickness Allowance and Parenting Payment Partnered Rates	10	Unemployment	18
AlNsaTot60S	ES	Total (before RA and PhA)	60+ and long term recipient	Single	Period	NewStart Allowance, Special Benefit, Sickness Allowance and Parenting Payment Partnered Rates	11	Unemployment	18
UnempCoupBasicMaxF	MBR	Components	60+ and long term recipient	Married	Period	NewStart Allowance, Special Benefit, Sickness Allowance and Parenting Payment Partnered Rates	12	Unemployment	18
UnempCoupEsMaxF	ES	Components	60+ and long term recipient	Married	Period	NewStart Allowance, Special Benefit, Sickness Allowance and Parenting Payment Partnered Rates	13	Unemployment	18
not_used114	ES	Total (before RA)	60+ and long term recipient	Married	Period	NewStart Allowance, Special Benefit, Sickness Allowance and Parenting Payment Partnered Rates	14	Unemployment	18
UnempAssHomeThrSA	ES	Total (before RA)	Home owner	Single	Asset Cutout	Means Tests	15	Unemployment	18
UnempAssNoHomeThrSA	ES	Total (before RA)	Non-home owner	Single	Asset Cutout	Means Tests	16	Unemployment	18
UnempAssHomeThrCA	ES	Total (before RA)	Home owner	Married	Asset Cutout	Means Tests	17	Unemployment	18
UnempAssNoHomeThrCA	ES	Total (before RA)	Non-home owner	Married	Asset Cutout	Means Tests	18	Unemployment	18
UnempThr1F	ES	Lower	Non-home owner	Income Thresholds	Income tests	Means Tests	19	Unemployment	18
UnempThr2F	ES	Upper	Non-home owner	Income Thresholds	Income tests	Means Tests	20	Unemployment	18
UnempTpr1	Lower	Couples and Singles Without Deps	Non-home owner	Taper Rates	Income tests	Means Tests	21	Unemployment	18
UnempTpr2	Upper	Couples and Singles Without Deps	Non-home owner	Taper Rates	Income tests	Means Tests	22	Unemployment	18
UnempSingDepsTpr1	Lower	Singles with Dependents	Non-home owner	Taper Rates	Income tests	Means Tests	23	Unemployment	18
UnempSingDepsTpr2	Upper	Singles with Dependents	Non-home owner	Taper Rates	Income tests	Means Tests	24	Unemployment	18
AllPartTpr	Upper	Singles with Dependents	Non-home owner	Taper Rates	Income tests	Allowance Partner Income Test Taper Rate	25	Unemployment	18
MaaAge	Upper	Singles with Dependents	Non-home owner	Taper Rates	Income tests	Mature Age Allowance Age	26	Unemployment	18
WidAllMinAge	Upper	Singles with Dependents	Non-home owner	Taper Rates	Income tests	Mininmum eligibility age for Widow Allowance	27	Unemployment	18
PppDepAge	Upper	Singles with Dependents	Non-home owner	Taper Rates	Income tests	Parenting Payment Partnered Child age limit	28	Unemployment	18
Date	MBR	Components	From	Single	Period	NewStart Allowance, Special Benefit, Sickness Allowance and Parenting Payment Partnered Rates	1	Unemployment_A	19
Enddate	MBR	Components	To	Single	Period	NewStart Allowance, Special Benefit, Sickness Allowance and Parenting Payment Partnered Rates	2	Unemployment_A	19
UnempSingNoDepsBasicMaxF	MBR	Components	No Dependents	Single	Period	NewStart Allowance, Special Benefit, Sickness Allowance and Parenting Payment Partnered Rates	3	Unemployment_A	19
